"region" "district" "const"
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO"
"KILIMANJARO" "WILAYA YA MWANGA" "MWANGA"
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO"
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI"
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI"
"KILIMANJARO" "WILAYA YA SIHA" "SIHA"
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE"
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA"
"KUSINI PEMBA" "CHAKECHAKE" "WAWI"
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI"
"KUSINI PEMBA" "MKOANI" "CHAMBANI"
"KUSINI PEMBA" "MKOANI" "KIWANI"
"KUSINI PEMBA" "MKOANI" "MKANYAGENI"
"KUSINI PEMBA" "MKOANI" "MKOANI"
"KUSINI PEMBA" "MKOANI" "MTAMBILE"
"KUSINI UNGUJA" "KATI" "CHWAKA"
"KUSINI UNGUJA" "KATI" "KOANI"
"KUSINI UNGUJA" "KATI" "UZINI"
"KUSINI UNGUJA" "KUSINI" "MAKUNDUCHI"
"KUSINI UNGUJA" "KUSINI" "MUYUNI"
"LINDI" "MJI WA LINDI" "LINDI MJINI"
"LINDI" "WILAYA YA KILWA" "KILWA KASKAZINI"
"LINDI" "WILAYA YA KILWA" "KILWA KUSINI"
"LINDI" "WILAYA YA LINDI" "MCHINGA"
"LINDI" "WILAYA YA LINDI" "MTAMA"
"LINDI" "WILAYA YA LIWALE" "LIWALE"
"LINDI" "WILAYA YA NACHINGWEA" "NACHINGWEA"
"LINDI" "WILAYA YA RUANGWA" "RUANGWA"
"MANYARA" "MJI WA BABATI" "BABATI MJINI"
"MANYARA" "WILAYA YA BABATI" "BABATI VIJIJINI"
"MANYARA" "WILAYA YA HANANG" "HANANG"
"MANYARA" "WILAYA YA KITETO" "KITETO"
"MANYARA" "WILAYA YA MBULU" "MBULU"
"MANYARA" "WILAYA YA SIMANJIRO" "SIMANJIRO"
"MARA" "MANISPAA YA MUSOMA" "MUSOMA MJINI"
"MARA" "WILAYA YA BUNDA" "BUNDA"
"MARA" "WILAYA YA BUNDA" "MWIBARA"
"MARA" "WILAYA YA MUSOMA" "MUSOMA VIJIJINI"
"MARA" "WILAYA YA RORYA" "RORYA"
"MARA" "WILAYA YA SERENGETI" "SERENGETI"
"MARA" "WILAYA YA TARIME" "TARIME"
"MBEYA" "JIJI LA MBEYA" "MBEYA MJINI"
"MBEYA" "WILAYA YA CHUNYA" "LUPA"
"MBEYA" "WILAYA YA CHUNYA" "SONGWE"
"MBEYA" "WILAYA YA ILEJE" "ILEJE"
"MBEYA" "WILAYA YA KYELA" "KYELA"
"MBEYA" "WILAYA YA MBARALI" "MBARALI"
"MBEYA" "WILAYA YA MBEYA" "MBEYA VIJIJINI"
"MBEYA" "WILAYA YA MBOZI" "MBOZI MAGHARIBI"
"MBEYA" "WILAYA YA MBOZI" "MBOZI MASHARIKI"
"MBEYA" "WILAYA YA RUNGWE" "RUNGWE MAGHARIBI"
"MBEYA" "WILAYA YA RUNGWE" "RUNGWE MASHARIKI"
"MJINI MAGHARIBI" "MAGHARIBI" "BUBUBU"
"MJINI MAGHARIBI" "MAGHARIBI" "DIMANI"
"MJINI MAGHARIBI" "MAGHARIBI" "DOLE"
"MJINI MAGHARIBI" "MAGHARIBI" "FUONI"
"MJINI MAGHARIBI" "MAGHARIBI" "KIEMBE SAMAKI"
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI"
"MJINI MAGHARIBI" "MAGHARIBI" "MFENESINI"
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI"
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE"
"MJINI MAGHARIBI" "MJINI" "AMANI"
"MJINI MAGHARIBI" "MJINI" "CHUMBUNI"
"MJINI MAGHARIBI" "MJINI" "JANG'OMBE"
"MJINI MAGHARIBI" "MJINI" "KIKWAJUNI"
"MJINI MAGHARIBI" "MJINI" "KWAHANI"
"MJINI MAGHARIBI" "MJINI" "KWAMTIPURA"
"MJINI MAGHARIBI" "MJINI" "MAGOMENI"
"MJINI MAGHARIBI" "MJINI" "MJI MKONGWE"
"MJINI MAGHARIBI" "MJINI" "MPENDAE"
"MJINI MAGHARIBI" "MJINI" "RAHALEO"
"MOROGORO" "MANISPAA YA MOROGORO" "MOROGORO MJINI"
"MOROGORO" "WILAYA YA KILOMBERO" "KILOMBERO"
"MOROGORO" "WILAYA YA KILOSA" "GAIRO"
"MOROGORO" "WILAYA YA KILOSA" "KILOSA"
"MOROGORO" "WILAYA YA KILOSA" "MIKUMI"
"MOROGORO" "WILAYA YA MOROGORO" "MOROGORO KUSINI"
"MOROGORO" "WILAYA YA MOROGORO" "MOROGORO KUSINI MASHARIKI"
"MOROGORO" "WILAYA YA MVOMERO" "MVOMERO"
"MOROGORO" "WILAYA YA ULANGA" "ULANGA MAGHARIBI"
"MOROGORO" "WILAYA YA ULANGA" "ULANGA MASHARIKI"
"MTWARA" "MANISPAA YA MTWARA MIKINDANI" "MTWARA MJINI"
"MTWARA" "WILAYA YA MASASI" "LULINDI"
"MTWARA" "WILAYA YA MASASI" "MASASI"
"MTWARA" "WILAYA YA MTWARA" "MTWARA VIJIJINI"
"MTWARA" "WILAYA YA NANYUMBU" "NANYUMBU"
"MTWARA" "WILAYA YA NEWALA" "NEWALA"
"MTWARA" "WILAYA YA TANDAHIMBA" "TANDAHIMBA"
"MWANZA" "JIJI LA MWANZA" "ILEMELA"
"MWANZA" "JIJI LA MWANZA" "NYAMAGANA"
"MWANZA" "WILAYA YA GEITA" "BUSANDA"
"MWANZA" "WILAYA YA GEITA" "GEITA"
"MWANZA" "WILAYA YA GEITA" "NYANG'HWALE"
"MWANZA" "WILAYA YA KWIMBA" "KWIMBA"
"MWANZA" "WILAYA YA KWIMBA" "SUMVE"
"MWANZA" "WILAYA YA MAGU" "BUSEGA"
"MWANZA" "WILAYA YA MAGU" "MAGU MJINI"
"MWANZA" "WILAYA YA MISUNGWI" "MISUNGWI"
"MWANZA" "WILAYA YA SENGEREMA" "BUCHOSA"
"MWANZA" "WILAYA YA SENGEREMA" "SENGEREMA"
"MWANZA" "WILAYA YA UKEREWE" "UKEREWE"
"PWANI" "MJI WA KIBAHA" "KIBAHA MJINI"
"PWANI" "WILAYA YA BAGAMOYO" "BAGAMOYO"
"PWANI" "WILAYA YA BAGAMOYO" "CHALINZE"
"PWANI" "WILAYA YA KIBAHA" "KIBAHA VIJIJINI"
"PWANI" "WILAYA YA KISARAWE" "KISARAWE"
"PWANI" "WILAYA YA MAFIA" "MAFIA"
"PWANI" "WILAYA YA MKURANGA" "MKURANGA"
"PWANI" "WILAYA YA RUFIJI" "KIBITI"
"PWANI" "WILAYA YA RUFIJI" "RUFIJI"
"RUKWA" "MANISPAA YA SUMBAWANGA" "SUMBAWANGA MJINI"
"RUKWA" "MJI WA MPANDA" "MPANDA MJINI"
"RUKWA" "WILAYA YA MPANDA" "KATAVI"
"RUKWA" "WILAYA YA MPANDA" "MPANDA VIJIJINI"
"RUKWA" "WILAYA YA NKASI" "NKASI KASKAZINI"
"RUKWA" "WILAYA YA NKASI" "NKASI KUSINI"
"RUKWA" "WILAYA YA SUMBAWANGA" "KALAMBO"
"RUKWA" "WILAYA YA SUMBAWANGA" "KWELA"
"RUVUMA" "MANISPAA YA SONGEA" "SONGEA MJINI"
"RUVUMA" "WILAYA YA MBINGA" "MBINGA MAGHARIBI"
"RUVUMA" "WILAYA YA MBINGA" "MBINGA MASHARIKI"
"RUVUMA" "WILAYA YA NAMTUMBO" "NAMTUMBO"
"RUVUMA" "WILAYA YA SONGEA" "PERAMIHO"
"RUVUMA" "WILAYA YA TUNDURU" "TUNDURU KASKAZINI"
"RUVUMA" "WILAYA YA TUNDURU" "TUNDURU KUSINI"
"SHINYANGA" "MANISPAA YA SHINYANGA" "SHINYANGA MJINI"
"SHINYANGA" "WILAYA YA BARIADI" "BARIADI MAGHARIBI"
"SHINYANGA" "WILAYA YA BARIADI" "BARIADI MASHARIKI"
"SHINYANGA" "WILAYA YA BUKOMBE" "BUKOMBE"
"SHINYANGA" "WILAYA YA BUKOMBE" "MBOGWE"
"SHINYANGA" "WILAYA YA KAHAMA" "KAHAMA"
"SHINYANGA" "WILAYA YA KAHAMA" "MSALALA"
"SHINYANGA" "WILAYA YA KISHAPU" "KISHAPU"
"SHINYANGA" "WILAYA YA MASWA" "MASWA MAGHARIBI"
"SHINYANGA" "WILAYA YA MASWA" "MASWA MASHARIKI"
"SHINYANGA" "WILAYA YA MEATU" "KISESA"
"SHINYANGA" "WILAYA YA MEATU" "MEATU"
"SHINYANGA" "WILAYA YA SHINYANGA" "SOLWA"
"SINGIDA" "MANISPAA YA SINGIDA" "SINGIDA MJINI"
"SINGIDA" "WILAYA YA IRAMBA" "IRAMBA MAGHARIBI"
"SINGIDA" "WILAYA YA IRAMBA" "IRAMBA MASHARIKI"
"SINGIDA" "WILAYA YA MANYONI" "MANYONI MAGHARIBI"
"SINGIDA" "WILAYA YA MANYONI" "MANYONI MASHARIKI"
"SINGIDA" "WILAYA YA SINGIDA" "SINGIDA KASKAZINI"
"SINGIDA" "WILAYA YA SINGIDA" "SINGIDA MAGHARIBI"
"SINGIDA" "WILAYA YA SINGIDA" "SINGIDA MASHARIKI"
"TABORA" "MANISPAA YA TABORA" "TABORA MJINI"
"TABORA" "WILAYA YA IGUNGA" "IGUNGA"
"TABORA" "WILAYA YA NZEGA" "BUKENE"
"TABORA" "WILAYA YA NZEGA" "NZEGA"
"TABORA" "WILAYA YA SIKONGE" "SIKONGE"
"TABORA" "WILAYA YA TABORA" "IGALULA"
"TABORA" "WILAYA YA TABORA" "TABORA KASKAZINI"
"TABORA" "WILAYA YA URAMBO" "URAMBO MAGHARIBI"
"TABORA" "WILAYA YA URAMBO" "URAMBO MASHARIKI"
"TANGA" "JIJI LA TANGA" "TANGA MJINI"
"TANGA" "MJI WA KOROGWE" "KOROGWE MJINI"
"TANGA" "WILAYA YA HANDENI" "HANDENI"
"TANGA" "WILAYA YA KILINDI" "KILINDI"
"TANGA" "WILAYA YA KOROGWE" "KOROGWE VIJIJINI"
"TANGA" "WILAYA YA LUSHOTO" "BUMBULI"
"TANGA" "WILAYA YA LUSHOTO" "LUSHOTO"
"TANGA" "WILAYA YA LUSHOTO" "MLALO"
"TANGA" "WILAYA YA MKINGA" "MKINGA"
"TANGA" "WILAYA YA MUHEZA" "MUHEZA"
"TANGA" "WILAYA YA PANGANI" "PANGANI"
