"id","reg","dis","con","ward","ccm_leg10","split_leg10","ccm_leg05","split_leg05"
77,"DAR-ES-SALAAM","KINONDONI","KINONDONI","MWANANYAMALA",1,22.99,NA,NA
78,"DAR-ES-SALAAM","KINONDONI","KINONDONI","MAGOMENI",1,22.99,NA,NA
79,"DAR-ES-SALAAM","KINONDONI","KINONDONI","KINONDONI",1,22.99,NA,NA
80,"DAR-ES-SALAAM","ILALA","ILALA","UPANGA MAGHARIBI",1,46.04,NA,NA
81,"DAR-ES-SALAAM","ILALA","ILALA","JANGWANI",1,46.04,NA,NA
82,"DAR-ES-SALAAM","KINONDONI","KINONDONI","MZIMUNI",1,22.99,NA,NA
83,"DAR-ES-SALAAM","KINONDONI","KINONDONI","KIGOGO",1,22.99,NA,NA
84,"DAR-ES-SALAAM","KINONDONI","UBUNGO","MBURAHATI",0,12.03,NA,NA
85,"DAR-ES-SALAAM","KINONDONI","UBUNGO","MAKURUMLA",0,12.03,NA,NA
86,"DAR-ES-SALAAM","KINONDONI","UBUNGO","UBUNGO",0,12.03,NA,NA
87,"DAR-ES-SALAAM","KINONDONI","UBUNGO","MANZESE",0,12.03,NA,NA
88,"DAR-ES-SALAAM","KINONDONI","KINONDONI","KIJITONYAMA",1,22.99,NA,NA
89,"DAR-ES-SALAAM","KINONDONI","UBUNGO","MBEZI",0,12.03,NA,NA
90,"DAR-ES-SALAAM","KINONDONI","KAWE","KAWE",0,8.91,NA,NA
91,"DAR-ES-SALAAM","KINONDONI","KAWE","KUNDUCHI",0,8.91,NA,NA
92,"DAR-ES-SALAAM","KINONDONI","KAWE","BUNJU",0,8.91,NA,NA
93,"DAR-ES-SALAAM","KINONDONI","UBUNGO","MAKUBURI",0,12.03,NA,NA
94,"DAR-ES-SALAAM","KINONDONI","UBUNGO","SINZA",0,12.03,NA,NA
95,"DAR-ES-SALAAM","KINONDONI","KAWE","MIKOCHENI",0,8.91,NA,NA
96,"DAR-ES-SALAAM","KINONDONI","UBUNGO","KIMARA",0,12.03,NA,NA
97,"DAR-ES-SALAAM","ILALA","UKONGA","UKONGA",1,20.73,NA,NA
98,"DAR-ES-SALAAM","ILALA","UKONGA","PUGU",1,20.73,NA,NA
99,"DAR-ES-SALAAM","ILALA","UKONGA","KITUNDA",1,20.73,NA,NA
100,"DAR-ES-SALAAM","ILALA","UKONGA","KIPAWA",1,20.73,NA,NA
101,"DAR-ES-SALAAM","ILALA","UKONGA","VINGUNGUTI",1,20.73,NA,NA
102,"DAR-ES-SALAAM","ILALA","UKONGA","TABATA",1,20.73,NA,NA
103,"DAR-ES-SALAAM","TEMEKE","KIGAMBONI","KIGAMBONI",1,26.47,NA,NA
104,"DAR-ES-SALAAM","TEMEKE","KIGAMBONI","TOANGOMA",1,26.47,NA,NA
105,"DAR-ES-SALAAM","TEMEKE","KIGAMBONI","MJI MWEMA",1,26.47,NA,NA
106,"DAR-ES-SALAAM","TEMEKE","KIGAMBONI","CHARAMBE",1,26.47,NA,NA
107,"DAR-ES-SALAAM","TEMEKE","TEMEKE","KURASINI",1,24.35,NA,NA
108,"DAR-ES-SALAAM","TEMEKE","TEMEKE","TANDIKA",1,24.35,NA,NA
109,"DAR-ES-SALAAM","TEMEKE","TEMEKE","MTONI",1,24.35,NA,NA
110,"DAR-ES-SALAAM","TEMEKE","TEMEKE","SANDALI",1,24.35,NA,NA
111,"DAR-ES-SALAAM","TEMEKE","TEMEKE","MIBURANI",1,24.35,NA,NA
112,"DAR-ES-SALAAM","TEMEKE","TEMEKE","TEMEKE",1,24.35,NA,NA
113,"DAR-ES-SALAAM","TEMEKE","KIGAMBONI","MBAGALA KUU",1,26.47,NA,NA
114,"DAR-ES-SALAAM","TEMEKE","TEMEKE","AZIMIO",1,24.35,NA,NA
115,"DAR-ES-SALAAM","TEMEKE","TEMEKE","MAKANGARAWE",1,24.35,NA,NA
116,"DAR-ES-SALAAM","TEMEKE","KIGAMBONI","PEMBA MNAZI",1,26.47,NA,NA
117,"LINDI","KILWA","KILWA KASKAZINI","TINGI",1,25.38,1,30.2
118,"LINDI","KILWA","KILWA KASKAZINI","KIPATIMU",1,25.38,1,30.2
119,"LINDI","KILWA","KILWA KASKAZINI","NJINJO",1,25.38,1,30.2
120,"LINDI","KILWA","KILWA KUSINI","PANDE",0,1.98,1,15.3
121,"LINDI","KILWA","KILWA KUSINI","KIVINJE SINGINO",0,1.98,1,15.3
122,"LINDI","KILWA","KILWA KUSINI","MASOKO",0,1.98,1,15.3
123,"LINDI","LINDI RURAL","MTAMA","NAMUPA",1,69.06,1,59.8
124,"LINDI","LINDI RURAL","MTAMA","MNARA",1,69.06,1,59.8
125,"LINDI","LINDI RURAL","MCHINGA","MILOLA",1,17.87,1,16.8
126,"LINDI","NACHINGWEA","NACHINGWEA","KILIMA RONDO",1,43.21,1,74.5
127,"LINDI","LIWALE","LIWALE","LIWALE 'B'",1,20.45,1,14.8
128,"LINDI","LIWALE","LIWALE","NGONGOWELE",1,20.45,1,14.8
129,"LINDI","LIWALE","LIWALE","MLEMBWE",1,20.45,1,14.8
130,"LINDI","LIWALE","LIWALE","LIWALE MJINI",1,20.45,1,14.8
131,"LINDI","RUANGWA","RUANGWA","RUANGWA",1,49.18,1,63.8
132,"LINDI","RUANGWA","RUANGWA","CHIENJERE",1,49.18,1,63.8
133,"LINDI","RUANGWA","RUANGWA","NARUNG'OMBE",1,49.18,1,63.8
134,"LINDI","LINDI URBAN","LINDI MJINI","MTANDA",0,6.69,1,19.4
135,"LINDI","LINDI URBAN","LINDI MJINI","JAMHURI",0,6.69,1,19.4
136,"MTWARA","MTWARA RURAL","MTWARA VIJIJINI","MTINIKO",1,38.02,1,56
137,"MTWARA","MTWARA RURAL","MTWARA VIJIJINI","DIHIMBA",1,38.02,1,56
138,"MTWARA","MTWARA RURAL","MTWARA VIJIJINI","MNIMA",1,38.02,1,56
139,"MTWARA","MTWARA RURAL","MTWARA VIJIJINI","NDUMBWE",1,38.02,1,56
140,"MTWARA","MTWARA RURAL","MTWARA VIJIJINI","NAUMBU",1,38.02,1,56
141,"MTWARA","NEWALA","NEWALA","LUCHINGU",1,35.63,1,62.5
142,"MTWARA","NEWALA","NEWALA","MCHOLI II",1,35.63,1,62.5
143,"MTWARA","NEWALA","NEWALA","MTOPWA",1,35.63,1,62.5
144,"MTWARA","NEWALA","NEWALA","CHIWONGA",1,35.63,1,62.5
145,"MTWARA","NEWALA","NEWALA","MAKUKWE",1,35.63,1,62.5
146,"MTWARA","MASASI","MASASI","MASASI",1,48.69,1,64.6
147,"MTWARA","MASASI","MASASI","LISEKESE",1,48.69,1,64.6
148,"MTWARA","MASASI","MASASI","CHIGUGU",1,48.69,1,64.6
149,"MTWARA","NEWALA","MASASI","NANGANGA",1,48.69,1,64.6
150,"MTWARA","MASASI","NANYUMBU","NANGOMBA",1,22.83,1,62.9
151,"MTWARA","MASASI","LULINDI","MKULULU",1,57,1,73.7
152,"MTWARA","TANDAHIMBA","TANDAHIMBA","MKOREHA",1,1.47,1,47.1
153,"MTWARA","TANDAHIMBA","TANDAHIMBA","NANHYANGA",1,1.47,1,47.1
154,"MTWARA","MTWARA URBAN","MTWARA MJINI","LIKOMBE",1,21.73,1,31.7
155,"MTWARA","MTWARA URBAN","MTWARA MJINI","VIGAENI",1,21.73,1,31.7
156,"MTWARA","MTWARA URBAN","MASASI","MWENA",1,48.69,1,64.6
157,"MTWARA","MTWARA URBAN","MTWARA MJINI","SHANGANI",1,21.73,1,31.7
158,"RUVUMA","TUNDURU","TUNDURU KASKAZINI","MLINGOTI MASHARIKI",1,7.78,NA,NA
159,"RUVUMA","TUNDURU","TUNDURU KASKAZINI","MLINGOTI MAGHARIBI",1,7.78,NA,NA
160,"RUVUMA","SONGEA RURAL","PERAMIHO","MUHUKURU",1,81.22,1,90.1
161,"RUVUMA","SONGEA RURAL","PERAMIHO","MAPOSENI",1,81.22,1,90.1
162,"RUVUMA","SONGEA RURAL","PERAMIHO","LILAMBO",1,81.22,1,90.1
163,"RUVUMA","NAMTUMBO","PERAMIHO","MATIMIRA",1,81.22,1,90.1
164,"RUVUMA","MBINGA","MBINGA MAGHARIBI","KILOSA",1,64.85,1,87
165,"RUVUMA","MBINGA","MBINGA MAGHARIBI","KINGERIKITI",1,64.85,1,87
166,"RUVUMA","MBINGA","MBINGA MAGHARIBI","LIULI",1,64.85,1,87
167,"RUVUMA","MBINGA","MBINGA MASHARIKI","MBUJI",1,79.42,1,81
168,"RUVUMA","MBINGA","MBINGA MAGHARIBI","LITUHI",1,64.85,1,87
169,"RUVUMA","NAMTUMBO","NAMTUMBO","MSINDO",1,48.54,1,36.9
170,"RUVUMA","NAMTUMBO","NAMTUMBO","KITANDA",1,48.54,1,36.9
171,"RUVUMA","NAMTUMBO","NAMTUMBO","LUCHILI",1,48.54,1,36.9
172,"IRINGA","IRINGA RURAL","ISMANI","NDULI",1,NA,1,78.5
173,"IRINGA","IRINGA RURAL","ISMANI","MAHUNINGA",1,NA,1,78.5
174,"IRINGA","MUFINDI","MUFINDI KUSINI","IHOWANZA",1,NA,1,65.9
175,"IRINGA","MUFINDI","MUFINDI KUSINI","MTWANGO",1,NA,1,65.9
176,"IRINGA","MAKETE","MAKETE","MATAMBA",1,70.17,1,91.6
177,"IRINGA","NJOMBE","NJOMBE KUSINI","NJOMBE MJINI",1,NA,1,67.7
178,"IRINGA","NJOMBE","MUFINDI KUSINI","MTWANGO",1,NA,1,65.9
179,"IRINGA","LUDEWA","LUDEWA","MAWENGI",1,NA,1,91.4
180,"IRINGA","LUDEWA","LUDEWA","LUPINGU",1,NA,1,91.4
181,"IRINGA","LUDEWA","LUDEWA","LUDEWA",1,NA,1,91.4
182,"IRINGA","IRINGA URBAN","IRINGA MJINI","MTWIVILA",0,6.06,1,49.6
183,"IRINGA","IRINGA URBAN","IRINGA MJINI","MWANGATA",0,6.06,1,49.6
184,"IRINGA","KILOLO","KILOLO","MAHENGE",1,84.77,1,82.8
185,"MBEYA","CHUNYA","LUPA","MATWIGA",1,15.59,NA,NA
186,"MBEYA","CHUNYA","LUPA","MAKONGOROSI",1,15.59,NA,NA
187,"MBEYA","CHUNYA","LUPA","IFUMBO",1,15.59,NA,NA
188,"MBEYA","CHUNYA","SONGWE","MBANGALA",1,NA,NA,NA
189,"MBEYA","MBEYA RURAL","MBEYA VIJIJINI","ILEMBO",1,22.51,1,71.4
190,"MBEYA","MBEYA RURAL","MBEYA VIJIJINI","ISUTO",1,22.51,1,71.4
191,"MBEYA","KYELA","KYELA","MATEMA",1,80.22,1,88.7
192,"MBEYA","KYELA","KYELA","BUJONDE",1,80.22,1,88.7
193,"MBEYA","RUNGWE","RUNGWE MASHARIKI","LSANGE",1,NA,NA,NA
194,"MBEYA","RUNGWE","RUNGWE MAGHARIBI","LUFINGO",1,NA,1,44.3
195,"MBEYA","RUNGWE","RUNGWE MAGHARIBI","KIWIRA",1,NA,1,44.3
196,"MBEYA","ILEJE","ILEJE","ISONGOLE",1,69.31,1,45
197,"MBEYA","ILEJE","ILEJE","CHITETE",1,69.31,1,45
198,"MBEYA","MBOZI","MBOZI MAGHARIBI","LSANSA",0,1.49,1,83.5
199,"MBEYA","MBOZI","MBOZI MASHARIKI","RUANDA",1,20.49,1,84.1
200,"MBEYA","MBOZI","MBOZI MAGHARIBI","IHANDA",0,1.49,1,83.5
201,"MBEYA","MBARALI","MBARALI","UBARUKU",1,35.24,1,60.9
202,"MBEYA","MBEYA URBAN","MBEYA MJINI","IGAWILO",0,29.88,1,55.9
203,"MBEYA","MBEYA URBAN","MBEYA MJINI","ISYESYE",0,29.88,1,55.9
204,"SINGIDA","IRAMBA","IRAMBA MAGHARIBI","KISIRIRI",1,80.24,1,56.5
205,"SINGIDA","IRAMBA","IRAMBA MAGHARIBI","MTOA",1,80.24,1,56.5
206,"SINGIDA","SINGIDA RURAL","SINGIDA MASHARIKI","ISSUNA",0,6,NA,NA
207,"SINGIDA","MANYONI","MANYONI MASHARIKI","MAKURU",1,77.22,1,88.9
208,"SINGIDA","MANYONI","MANYONI MAGHARIBI","MGANDU",1,9.46,1,84.6
209,"SINGIDA","SINGIDA URBAN","SINGIDA MJINI","IPEMBE",1,67.82,1,86.3
210,"SINGIDA","SINGIDA RURAL","SINGIDA MAGHARIBI","PUMA",1,26.5,NA,NA
211,"TABORA","NZEGA","NZEGA","NZAGA MJINI",1,34.36,1,27.7
212,"TABORA","NZEGA","NZEGA","MUHUGI",1,34.36,1,27.7
213,"TABORA","IGUNGA","IGUNGA","ISAKAMALIWA",1,49.68,1,NA
214,"TABORA","IGUNGA","IGUNGA","MWAMASHIGA",1,49.68,1,NA
215,"TABORA","IGUNGA","IGUNGA","KINING'INILA",1,49.68,1,NA
216,"TABORA","IGUNGA","IGUNGA","CHABUTWA",1,49.68,1,NA
217,"TABORA","UYUI","IGALULA","LUTENDE",1,52.47,1,27.2
218,"TABORA","UYUI","TABORA KASKAZINI","SHITAGE",1,70.65,1,44.5
219,"TABORA","URAMBO","NZEGA","MILAMBO",1,34.36,1,27.7
220,"TABORA","SIKONGE","SIKONGE","SIKONGE",1,33.65,1,45.9
221,"TABORA","SIKONGE","SIKONGE","KIPILI",1,33.65,1,45.9
222,"TABORA","SIKONGE","SIKONGE","LGIGWA",1,33.65,1,45.9
223,"TABORA","TABORA URBAN","TABORA MJINI","NG'AMBO",1,48.49,1,40.9
224,"TABORA","TABORA URBAN","TABORA MJINI","NDEVELWA",1,48.49,1,40.9
225,"RUKWA","MPANDA",NA,"KATUMBA",NA,NA,NA,NA
226,"RUKWA","MPANDA",NA,"MISHAMO",NA,NA,NA,NA
227,"RUKWA","MPANDA",NA,"KASHAULILI",NA,NA,NA,NA
228,"RUKWA","SUMBAWANGA RURAL","KWELA","LAELA",1,61.27,1,15.8
229,"RUKWA","SUMBAWANGA RURAL","KWELA","MUZE",1,61.27,1,15.8
230,"RUKWA","SUMBAWANGA RURAL","KWELA","MTOWISA",1,61.27,1,15.8
231,"RUKWA","NKASI","NKASI KASKAZINI","NAMANYERE",1,8.07,NA,NA
232,"RUKWA","NKASI","NKASI KASKAZINI","ISALE",1,8.07,NA,NA
233,"RUKWA","NKASI","NKASI KASKAZINI","KIRANDO",1,8.07,NA,NA
234,"RUKWA","SUMBAWANGA URBAN","SUMBAWANGA MJINI","SENGA",1,0.55,1,78.7
235,"KIGOMA","KIBONDO","MUHAMBWE","KIBONDO MJINI",0,22.85,1,65.7
236,"KIGOMA","KIBONDO","MUHAMBWE","KITAHANA",0,22.85,1,65.7
237,"KIGOMA","KIBONDO","MUHAMBWE","BUSAGARA",0,22.85,1,65.7
238,"KIGOMA","KIBONDO","MUHAMBWE","KUMSENGA",0,22.85,1,65.7
239,"KIGOMA","KASULU","KASULU VIJIJINI","ERU USHINGO",0,15.98,NA,NA
240,"KIGOMA","KASULU","KASULU VIJIJINI","NYAMIDAHO",0,15.98,NA,NA
241,"KIGOMA","KASULU","KASULU VIJIJINI","KITAGATA",0,15.98,NA,NA
242,"KIGOMA","KASULU","KASULU VIJIJINI","MUZENZE",0,15.98,NA,NA
243,"KIGOMA","KASULU",NA,"KAJANA",NA,NA,NA,NA
244,"KIGOMA","KASULU","KASULU MJINI","MURUFITI",0,13.07,NA,NA
245,"KIGOMA","KIGOMA RURAL","KIGOMA KASKAZINI","BITALE",0,10.42,0,11.5
246,"KIGOMA","KIGOMA RURAL","KIGOMA KUSINI","NGURUKA",0,4.87,1,23.1
247,"KIGOMA","LAKE TANGANYIKA",NA,"N.A. ( 1030)",NA,NA,NA,NA
248,"SHINYANGA","BARIADI","BARIADI MASHARIKI","LAGANGABILILI",0,6.89,0,13
249,"SHINYANGA","MASWA","MASWA MAGHARIBI","BUCHAMBI",0,15.95,NA,NA
250,"SHINYANGA","MASWA","MASWA MAGHARIBI","BADI",0,15.95,NA,NA
251,"SHINYANGA","SHINYANGA RURAL","SOLWA","USULE",1,43.85,1,41.7
252,"SHINYANGA","SHINYANGA RURAL","SOLWA","SALAWE",1,43.85,1,41.7
253,"SHINYANGA","KAHAMA","MSALALA","BUGARAMA",1,42.08,1,70.6
254,"SHINYANGA","KAHAMA","MSALALA","LUNGUYA",1,42.08,1,70.6
255,"SHINYANGA","KAHAMA","KAHAMA","BULUNGWA",1,19.47,1,59.8
256,"SHINYANGA","KAHAMA","KAHAMA","IGWAMANONI",1,19.47,1,59.8
257,"SHINYANGA","BUKOMBE","BUKOMBE","USHIROMBO",0,22.29,1,33.7
258,"SHINYANGA","MEATU","MEATU","MWAMISHALI",0,3.51,1,21.4
259,"SHINYANGA","MEATU","KISESA","MWABUSALU",1,25.54,1,12.5
260,"SHINYANGA","SHINYANGA URBAN","SHINYANGA MJINI","KAMBARAGE",1,0.33,1,NA
261,"SHINYANGA","SHINYANGA URBAN","SHINYANGA MJINI","CHIBE",1,0.33,1,NA
262,"SHINYANGA","KISHAPU","KISHAPU","KISHAPU",1,49.14,1,73.2
263,"SHINYANGA","KISHAPU","KISHAPU","SHAGIHILU",1,49.14,1,73.2
264,"SHINYANGA","KISHAPU","KISHAPU","KILOLELI",1,49.14,1,73.2
265,"KAGERA","KARAGWE","KARAGWE","KITUNTU",1,9.3,1,36.8
266,"KAGERA","KARAGWE","KARAGWE","NYAKAKIKA",1,9.3,1,36.8
267,"KAGERA","KARAGWE","KYERWA","MURONGO",1,27.27,1,5.8
268,"KAGERA","BUKOBA RURAL","NKENGE","KASAMBYA",1,92.32,0,NA
269,"KAGERA","BUKOBA RURAL","NKENGE","KITOBO",1,92.32,0,NA
270,"KAGERA","BUKOBA RURAL","NKENGE","BUGANDIKA",1,92.32,0,NA
271,"KAGERA","MULEBA","MULEBA KASKAZINI","LZIGO",1,62.07,1,6.5
272,"KAGERA","MULEBA","MULEBA KUSINI","KARAMBI",1,NA,1,86.6
273,"KAGERA","MULEBA","MULEBA KASKAZINI","MUHUTWE",1,62.07,1,6.5
274,"KAGERA","BIHARAMULO",NA,"BUSERESERE",NA,NA,NA,NA
275,"KAGERA","NGARA",NA,"MUGANZA",NA,NA,NA,NA
276,"KAGERA","NGARA","NGARA","BUGARAMA",1,31.52,1,49.6
277,"KAGERA","NGARA","NGARA","KANAZI",1,31.52,1,49.6
278,"KAGERA","BUKOBA URBAN","BUKOBA MJINI","MIEMBENI",1,14.19,1,0.400000000000006
279,"KAGERA","BUKOBA URBAN","BUKOBA MJINI","KIBETA",1,14.19,1,0.400000000000006
280,"MWANZA","UKEREWE","UKEREWE","MURITI",0,16.14,1,10.4
281,"MWANZA","MAGU","MAGU MJINI","KISESA",1,1.59,1,44.9
282,"MWANZA","MAGU","MAGU MJINI","MWAMANGA",1,1.59,1,44.9
283,"MWANZA","KWIMBA","SUMVE","MALIGISU",1,5.46,1,25.3
284,"MWANZA","MAGU","MAGU MJINI","NKUNGULU",1,1.59,1,44.9
285,"MWANZA","MAGU","MAGU MJINI","MAGU MJINI",1,1.59,1,44.9
286,"MWANZA","ILEMELA","ILEMELA","BUSWELU",0,7.15,1,61.8
287,"MWANZA","KWIMBA","KWIMBA","MHANDE",1,39.28,1,61.3
288,"MWANZA","SENGEREMA","BUCHOSA","BUPANDWAMHELA",1,5.71,1,14
289,"MWANZA","GEITA","GEITA","SENGA",1,21.56,1,15
290,"MWANZA","GEITA","GEITA","KALANGALALA",1,21.56,1,15
291,"MWANZA","GEITA","BUSANDA","KASEME",1,13.12,1,62.4
292,"MWANZA","MISUNGWI","MISUNGWI","IGOKELO",1,72.73,1,69
293,"MWANZA","NYAMAGANA","ILEMELA","NYAMANORO",0,7.15,1,61.8
294,"MWANZA","ILEMELA","ILEMELA","BUGOGWA",0,7.15,1,61.8
295,"MARA","TARIME","TARIME","NYANDOTO",1,1,0,29.4
296,"MARA","SERENGETI","SERENGETI","KENYAMONTA",1,16.27,1,20.8
297,"MARA","MUSOMA RURAL","MUSOMA VIJIJINI","BWIREGI",1,NA,NA,NA
298,"MARA","MUSOMA RURAL","MUSOMA VIJIJINI","MAKOJO",1,NA,NA,NA
299,"MARA","BUNDA","BUNDA","BUNDA",1,36.74,NA,NA
300,"MARA","BUNDA","BUNDA","KABASA",1,36.74,NA,NA
301,"MARA","MUSOMA URBAN","MUSOMA MJINI","MAKOKO",0,21.46,1,12.5
302,"MANYARA","BABATI","BABATI MJINI","SIGINO",1,31.61,1,62.4
303,"MANYARA","BABATI","BABATI VIJIJINI","BASHNET",1,1.55,NA,NA
304,"MANYARA","HANANG","HANANG","MOGITU",1,21.47,1,82.3
305,"MANYARA","MBULU","MBULU","DONGOBESH",0,27.77,1,37.7
306,"MANYARA","SIMANJIRO","SIMANJIRO","NABERERA",1,NA,1,55
307,"MANYARA","SIMANJIRO","SIMANJIRO","SHAMBARAI",1,NA,1,55
308,"MANYARA","SIMANJIRO","SIMANJIRO","MERERANI",1,NA,1,55
