"reg" "dis" "con" "N1" "ward" "N2"
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "1" "BANGATA" 26
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "2" "BWAWANI" 27
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "3" "ILKIDING'A" 28
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "4" "KIMNYAKI" 29
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "5" "KIRANYI" 30
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "6" "KISONGO" 31
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "7" "MLANGARINI" 32
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "8" "MOIVO" 33
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "9" "MUSSA" 34
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "10" "MWANDETI" 35
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "11" "NDURUMA" 36
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "12" "OLDONYOSAMBU" 37
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "13" "OLJORO" 38
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "14" "OLKOKOLA" 39
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "15" "OLTRUMET" 40
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "16" "OLTOROTO" 41
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "17" "SOKON II" 42
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "18" "SAMBASHA" 43
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "19" "OLMOTONYI" 44
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "20" "OLORIENI" 45
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "21" "LEMANYATA" 46
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "22" "OLDONYOWASSI" 47
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "23" "MATEVES" 48
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "24" "LAROI" 49
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "25" "KIUTU" 50
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "26" "TARAKWA" 51
"ARUSHA" "WILAYA YA ARUSHA" "ARUMERU MAGHARIBI" "27" "ILBORU" 52
"ARUSHA" "WILAYA YA KARATU" "KARATU" "1" "BARAY" 53
"ARUSHA" "WILAYA YA KARATU" "KARATU" "2" "BUGER" 54
"ARUSHA" "WILAYA YA KARATU" "KARATU" "3" "DAA" 55
"ARUSHA" "WILAYA YA KARATU" "KARATU" "4" "ENDABASH" 56
"ARUSHA" "WILAYA YA KARATU" "KARATU" "5" "ENDAMARARIEK" 57
"ARUSHA" "WILAYA YA KARATU" "KARATU" "6" "GANAKO" 58
"ARUSHA" "WILAYA YA KARATU" "KARATU" "7" "KANSAY" 59
"ARUSHA" "WILAYA YA KARATU" "KARATU" "8" "KARATU" 60
"ARUSHA" "WILAYA YA KARATU" "KARATU" "9" "MANG'OLA" 61
"ARUSHA" "WILAYA YA KARATU" "KARATU" "10" "MBULUMBULU" 62
"ARUSHA" "WILAYA YA KARATU" "KARATU" "11" "OLDEAN" 63
"ARUSHA" "WILAYA YA KARATU" "KARATU" "12" "QURUS" 64
"ARUSHA" "WILAYA YA KARATU" "KARATU" "13" "RHOTIA" 65
"ARUSHA" "WILAYA YA KARATU" "KARATU" "14" "ENDAMAGHANG" 66
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "1" "ENGARENAIBOR" 67
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "2" "GELAI LUMBWA" 68
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "3" "GELAI MEIRUGOI" 69
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "4" "KITUMBEINE" 70
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "5" "LONGIDO" 71
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "6" "MATALE" 72
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "7" "NAMANGA" 73
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "8" "OLMOLOG" 74
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "9" "TINGATINGA" 75
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "10" "MUNDARARA" 76
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "11" "ELENG'ATA DAPASH" 77
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "12" "ILORIENITO" 78
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "13" "ENGIKARET" 79
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "14" "ORBOMBA" 80
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "15" "KIMOKOUWA" 81
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "16" "KAMWANGA" 82
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "17" "NOONDOTO" 83
"ARUSHA" "WILAYA YA LONGIDO" "LONGIDO" "18" "SINYA" 84
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "1" "ARASH" 85
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "2" "DIGODIGO" 86
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "3" "ENDULEN" 87
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "4" "KAKESIO" 88
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "5" "MALAMBO" 89
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "6" "NAINOKANOKA" 90
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "7" "NAIYOBI" 91
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "8" "NGORONGORO" 92
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "9" "OLBALBAL" 93
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "10" "OLDONYO SAMBU" 94
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "11" "ORGOSOROK" 95
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "12" "PINYINYI" 96
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "13" "SALE" 97
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "14" "SOITSAMBU" 98
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "15" "MAALON" 99
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "16" "SAMUNGE" 100
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "17" "ALAILELAI" 101
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "18" "ENGUSERO SAMBU" 102
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "19" "OLOIRIEN" 103
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "20" "OLOLOSOKWAN" 104
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "21" "OLOIPIRI" 105
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "22" "NGOILE" 106
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "23" "MISIGYO" 107
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "24" "EYASI" 108
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "25" "ALAITOLEI" 109
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "26" "KIRANGI" 110
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "27" "ENGARESIRO" 111
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "28" "PIYAYA" 112
"ARUSHA" "WILAYA YA NGORONGORO" "NGORONGORO" "29" "LOLIONDO" 113
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "1" "AKHERI" 114
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "2" "KIKATITI" 115
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "3" "KIKWE" 116
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "4" "KING'ORI" 117
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "5" "LEGURUKI" 118
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "6" "MAJI YA CHAI" 119
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "7" "MAKIBA" 120
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "8" "MARORONI" 121
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "9" "MBUGUNI" 122
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "10" "NGARENANYUKI" 123
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "11" "NKOANRUA" 124
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "12" "NKOARANGA" 125
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "13" "NKOARISAMBU" 126
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "14" "POLI" 127
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "15" "SEELA SING'ISI" 128
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "16" "SONGORO" 129
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "17" "USARIVER" 130
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "18" "SHABALAIBURKA" 131
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "19" "MALULA" 132
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "20" "UWILO" 133
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "21" "NG'ABOBO" 134
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "22" "MARUVANGO" 135
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "23" "IMBASENI" 136
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "24" "NKOANEKOLI" 137
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "25" "AMBURENI" 138
"ARUSHA" "WILAYA YA MERU" "ARUMERU MASHARIKI" "26" "MAJENGO" 139
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "1" "ENGARUKA" 140
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "2" "ENGUTOTO" 141
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "3" "ESILALEI" 142
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "4" "LOLKISALE" 143
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "5" "MAKUYUNI" 144
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "6" "MOITA" 145
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "7" "MONDULI JUU" 146
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "8" "MONDULI MJINI" 147
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "9" "MTO WA MBU" 148
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "10" "SELELA" 149
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "11" "SEPEKO" 150
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "12" "MESERANI" 151
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "13" "MAJENGO" 152
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "14" "MSWAKINI" 153
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "15" "LEPURKO" 154
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "16" "MFEREJI" 155
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "17" "LASHAINE" 156
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "18" "NAALARAMI" 157
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "19" "REMOOTI" 158
"ARUSHA" "WILAYA YA MONDULI" "MONDULI" "20" "MIGUNGANI" 159
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "1" "BONYOKWA" 160
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "2" "BUYUNI" 161
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "3" "GEREZANI" 162
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "4" "ILALA" 163
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "5" "JANGWANI" 164
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "6" "KARIAKOO" 165
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "7" "KISUKULU" 166
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "8" "KISUTU" 167
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "9" "KIVUKONI" 168
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "10" "LIWITI" 169
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "11" "MCHAFUKOGE" 170
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "12" "MCHIKICHINI" 171
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "13" "MINAZI MIREFU" 172
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "14" "UPANGA MAGHARIBI" 173
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "15" "UPANGA MASHARIKI" 174
"DAR ES SALAAM" "MANISPAA YA ILALA" "ILALA" "16" "ZINGIZIWA" 175
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "1" "BUGURUNI" 176
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "2" "KIMANGA" 177
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "3" "KINYEREZI" 178
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "4" "KIPAWA" 179
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "5" "KIWALANI" 180
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "6" "SEGEREA" 181
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "7" "TABATA" 182
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "8" "VINGUNGUTI" 183
"DAR ES SALAAM" "MANISPAA YA ILALA" "SEGEREA" "9" "MNYAMANI" 184
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "1" "CHANIKA" 185
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "2" "GONGOLAMBOTO" 186
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "3" "KITUNDA" 187
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "4" "KIVULE" 188
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "5" "MAJOHE" 189
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "6" "MSONGOLA" 190
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "7" "PUGU" 191
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "8" "UKONGA" 192
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "9" "MZINGA" 193
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "10" "PUGU STATION" 194
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "11" "KIPUNGUNI" 195
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "1" "BUNJU" 196
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "2" "KAWE" 197
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "3" "KUNDUCHI" 198
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "4" "MABWEPANDE" 199
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "5" "MAKONGO" 200
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "6" "MBEZI JUU" 201
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "7" "MBWENI" 202
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "8" "MIKOCHENI" 203
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "9" "MSASANI" 204
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "10" "WAZO" 205
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "1" "HANANASIFU" 206
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "2" "KIGOGO" 207
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "3" "KIJITONYAMA" 208
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "4" "KINONDONI" 209
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "5" "MAGOMENI" 210
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "6" "MAKUMBUSHO" 211
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "7" "MWANANYAMALA" 212
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "8" "MZIMUNI" 213
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "9" "NDUGUMBI" 214
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "10" "TANDALE" 215
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KIBAMBA" "1" "GOBA" 216
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KIBAMBA" "2" "KIBAMBA" 217
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KIBAMBA" "3" "SARANGA" 218
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KIBAMBA" "4" "KWEMBE" 219
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KIBAMBA" "5" "MSIGANI" 220
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KIBAMBA" "6" "MBEZI" 221
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "1" "MAKURUMLA" 222
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "2" "MANZESE" 223
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "3" "MABIBO" 224
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "4" "MBURAHATI" 225
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "5" "MAKUBURI" 226
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "6" "KIMARA" 227
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "7" "SINZA" 228
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "8" "UBUNGO" 229
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "1" "MBAGALA KUU" 230
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "2" "MBAGALA" 231
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "2" "CHARAMBE" 232
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "3" "CHAMAZI" 233
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "4" "KIJICHI" 234
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "5" "TOANGOMA" 235
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "6" "CHAMAZI" 236
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "7" "MIANZINI" 237
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "8" "KIBURUGWA" 238
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "9" "KIBONDEMAJI" 239
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "MBAGALA" "10" "KILUNGULE" 240
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "1" "KIGAMBONI" 241
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "2" "MJIMWEMA" 242
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "3" "PEMBA MNAZI" 243
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "4" "SOMANGILA" 244
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "5" "KIBADA" 245
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "6" "TUNGI" 246
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "7" "KISARAWE II" 247
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "8" "KIMBIJI" 248
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "9" "VIJIBWENI" 249
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "1" "AZIMIO" 250
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "2" "KILAKALA" 251
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "3" "CHANG'OMBE" 252
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "4" "KEKO" 253
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "5" "MAKANGARAWE" 254
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "6" "KURASINI" 255
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "7" "BUZA" 256
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "8" "MIBURANI" 257
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "9" "MTONI" 258
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "10" "SANDALI" 259
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "11" "TANDIKA" 260
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "12" "TEMEKE" 261
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "13" "YOMBO VITUKA" 262
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "1" "CHAMWINO" 263
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "2" "CHIHANGA" 264
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "3" "DODOMA MAKULU" 265
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "4" "HAZINA" 266
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "5" "HOMBOLO/BWAWANI" 267
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "6" "IPALA" 268
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "7" "KIKOMBO" 269
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "8" "KIKUYU KASKAZINI" 270
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "9" "KIKUYU KUSINI" 271
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "10" "KILIMANI" 272
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "11" "KIWANJA CHA NDEGE" 273
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "12" "KIZOTA" 274
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "13" "MADUKANI" 275
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "14" "MAJENGO" 276
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "15" "MAKOLE" 277
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "16" "MAKUTUPORA" 278
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "17" "MBABALA" 279
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "18" "MBALAWALA" 280
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "19" "MIYUJI" 281
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "20" "MKONZE" 282
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "21" "MPUNGUZI" 283
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "22" "MSALATO" 284
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "23" "MTUMBA" 285
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "24" "NALA" 286
