"region" "district" "const" "candidate" "party" "sex" "votes" "spltvotes" "perc"
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "BETHUEL PORI HEKO" "CUF" "M" 51519 16768 25.4
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "JACOB CHACHA FLORENCE" "CHADEMA" "F" 12297 16768 6.1
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "PERPETUA MORIO MASHELLE" "TLP" "F" 7681 16768 3.8
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "MALIK JANKEN KASAMBALA" "CHAUSTA" "M" 1186 16768 0.6
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "EBRAHIM MANCHARLE MARWA" "DP" "M" 820 16768 0.4
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "MATHIAS MSANGI MARIAM" "Jahazi Asilia" "F" 404 16768 0.2
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "JUMA SAIDI KISUNGURA" "NCCR-MAGEUZI" "M" 355 16768 0.2
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "RASHIDI MVALAUHENGA MZUWANDA" "FORD" "M" 346 16768 0.2
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "IBRAHIM NONDO HALIMA" "NLD" "F" 289 16768 0.1
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "SALUM KHALIFA SHEDODO" "SAU" "M" 242 16768 0.1
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "SALUMU SAID MKUMBA" "NRA" "M" 207 16768 0.1
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "ISMAIL KHATMA SANIA" "UPDP" "F" 161 16768 0.1
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "OMAR MOHAMED KIMOSSA" "UMD" "M" 142 16768 0.1
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "SALVATORY MLELWA  LIPYANA" "UDP" "M" 0 16768 NA
"DAR ES SALAAM" "MANISPAA YA ILALA" "UKONGA" "SALVATORY MLELWA LIPYANA" "UDP" "M" 0 16768 NA
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "RITA LOUISE MLAKI" "CCM" "F" 64074 4849 63
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "FRANCIS MUSHI DEOGRATIAS" "CHADEMA" "M" 17073 4849 16.8
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "SALIM OMARI MANDARI" "CUF" "M" 16449 4849 16.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "LEONARD MAKINGILIMA MBIKILWA" "TLP" "M" 1286 4849 1.3
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "FAUSTINE MATHIAS GWAJIMA" "UDP" "M" 1254 4849 1.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "MOHAMED SALUMU FATUMA" "CHAUSTA" "F" 522 4849 0.5
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "ROBERT MSWANYAMA JOHN" "Jahazi Asilia" "M" 318 4849 0.3
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "HUGO MWAKITIGA JOACHIM" "DP" "M" 283 4849 0.3
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "OMARY YAHYA KASSERA" "SAU" "M" 233 4849 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "THOMAS KILIMA SOPHIA" "UPDP" "F" 177 4849 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KAWE" "HEMED ABDALAH TUMBO" "UMD" "M" 90 4849 0.1
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "IDD MOHAMED AZZAN" "CCM" "M" 94387 5330 67.7
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "HASSAN HAMISI HAMISI" "CUF" "M" 34508 5330 24.7
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "YAHYA HUSSEIN HASSAN" "CHADEMA" "M" 7267 5330 5.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "HUBERT JOSEPH KABANDA" "TLP" "M" 987 5330 0.7
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "CHRISTINE SEMNG'INDO JANE" "UDP" "F" 903 5330 0.6
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "HASHIM SPUNDA RUNGWE" "NCCR-MAGEUZI" "M" 363 5330 0.3
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "YUSUPH MUYA MOHAMED" "CHAUSTA" "M" 293 5330 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "TAMBWE MKUTA KHADIJA" "Jahazi Asilia" "F" 270 5330 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "AIKAMBE ISAELI SWAI" "SAU" "M" 227 5330 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "JOSEPH OLOMI NEGRESS" "NLD" "F" 85 5330 0.1
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "SULEIMAN HEMEDI LIKOMBOGA" "UPDP" "M" 78 5330 0.1
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "KINONDONI" "MWANAHARUSI MUSTAFA HUMBE" "UMD" "F" 61 5330 0
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "CHARLES NDELYIANARUWA KEENJA" "CCM" "M" 93473 9776 51.6
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "JOHN JOHN MNYIKA" "CHADEMA" "M" 45164 9776 24.9
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "JUSTINA MELCHIOR MINJA" "CUF" "F" 28412 9776 15.7
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "PERPETUA KESSY NDERAKINDO" "NCCR-MAGEUZI" "F" 9323 9776 5.1
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "ELISA JULIUS MARANDU" "TLP" "M" 1356 9776 0.7
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "MAURICE VICTOR DAVID" "CHAUSTA" "M" 1268 9776 0.7
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "NASSOR DEKE ABDALLAH" "UDP" "M" 408 9776 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "HEBRON TILA MWANJALI" "DP" "M" 403 9776 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "JULIUS SYLIVESTER OMARI" "MAKINI" "M" 381 9776 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "GEOFREY SENGI MWIRU" "SAU" "M" 336 9776 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "ALPHAYO MUSHI LILIAN" "Jahazi Asilia" "F" 308 9776 0.2
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "ADIELY MREMA DELTHA" "NLD" "F" 219 9776 0.1
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "JAFARI MARUZUKU ASHA" "UMD" "F" 148 9776 0.1
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "MAURICE SANGU ARTHUR" "UPDP" "M" 106 9776 0.1
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "A MWINCHUMU MSOMI" "CCM" "M" 78898 6367 60.6
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "BAWJI MBWANA ATHMAN" "CUF" "M" 45671 6367 35.1
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "SAMWEL MOSHA DAYNESS" "CHADEMA" "F" 3497 6367 2.7
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "PATRICK RYOBA MWITA" "TLP" "M" 605 6367 0.5
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "GAUDENCE MITINDUGU MASOTA" "CHAUSTA" "M" 373 6367 0.3
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "DIANAROSE JOSEPH MHOJA" "NRA" "F" 328 6367 0.3
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "SHARIFF JUMA ALLY" "Jahazi Asilia" "M" 326 6367 0.3
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "ABRAHAM LYAMCHAY DOMINICK" "MAKINI" "M" 324 6367 0.2
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "STEPHANIA KABUMBA MSHOME" "NLD" "F" 139 6367 0.1
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "SULEMANI MSANGI ZAINABU" "UPDP" "F" 85 6367 0.1
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "ZUBERI ABASI MTEMVU" "CCM" "M" 103545 6385 60
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "RICHARD HIZA TAMBWE" "CUF" "M" 47448 6385 27.5
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "SHEIKH FUMBA JAMANDA" "CHAUSTA" "M" 14425 6385 8.4
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "RAMADHANI MYELA ISSA" "CHADEMA" "M" 4233 6385 2.5
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "ANANIA ALOYCE NJONJO" "TLP" "M" 1085 6385 0.6
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "JOYCE KUGA MONICA" "DP" "F" 444 6385 0.3
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MODESTA KIZITO PONERA" "NLD" "F" 410 6385 0.2
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "HAMISI OMARI MEGE" "UMD" "M" 336 6385 0.2
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MASSOUD KHAMISI NASSORQ" "UPDP" "M" 322 6385 0.2
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MWANAENZI KIBWANA MBWADUKE" "NRA" "F" 185 6385 0.1
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "EPHRAIM NEHEMIA MADEJE" "CCM" "M" 82699 4426 82.7
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "BENARDIN RUTAINURWA LUCY" "TLP" "F" 8809 4426 8.8
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "FRANCIS PETRO BURIRO" "CHADEMA" "M" 4036 4426 4
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "KHAMIS ISSA KHAMIS" "CUF" "M" 2954 4426 3
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "MOHAMED KAYUMBO KABUTALI" "NCCR-MAGEUZI" "M" 691 4426 0.7
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "IBRAHIM MLENDA SHABAN" "SAU" "M" 428 4426 0.4
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "HUSSEIN RASHIDY SAUM" "UDP" "F" 426 4426 0.4
"DODOMA" "WILAYA YA DODOMA" "BAHI" "WILLIAM JONATHAN KUSILA" "CCM" "M" 48372 5897 89.8
"DODOMA" "WILAYA YA DODOMA" "BAHI" "HASSAN AMANZI ASHURA" "CUF" "F" 3062 5897 5.7
"DODOMA" "WILAYA YA DODOMA" "BAHI" "JOSHUA ERNEST MILIMO" "CHADEMA" "M" 1145 5897 2.1
"DODOMA" "WILAYA YA DODOMA" "BAHI" "MERCKZEDECK  WILSON LESAKA" "TLP" "M" 946 5897 1.8
"DODOMA" "WILAYA YA DODOMA" "BAHI" "EDITRUDA MAHEMA MPEMBA" "DP" "F" 194 5897 0.4
"DODOMA" "WILAYA YA DODOMA" "BAHI" "EMMANUEL ELIYA NGOBITO" "SAU" "M" 147 5897 0.3
"DODOMA" "WILAYA YA DODOMA" "CHILONWA" "HEZEKIAH NDAHANI CHIBULUNJE" "CCM" "M" 35460 2502 93.1
"DODOMA" "WILAYA YA DODOMA" "CHILONWA" "WILLIAM THOMAS NGOMOKA" "CUF" "M" 961 2502 2.5
"DODOMA" "WILAYA YA DODOMA" "CHILONWA" "MAHIMUNA CHRISTANDUS NYONI" "DP" "F" 642 2502 1.7
"DODOMA" "WILAYA YA DODOMA" "CHILONWA" "CHRISTIAN MAULA KIBWANA" "CHADEMA" "M" 549 2502 1.4
"DODOMA" "WILAYA YA DODOMA" "CHILONWA" "DANIEL MAKALWE ANASTAZIA" "TLP" "F" 491 2502 1.3
"DODOMA" "WILAYA YA DODOMA" "MTERA" "JOHN SAMWEL MALECELA" "CCM" "M" 42994 3533 92.7
"DODOMA" "WILAYA YA DODOMA" "MTERA" "THOMAS JOSEPH NGOMOKA" "CUF" "M" 1928 3533 4.2
"DODOMA" "WILAYA YA DODOMA" "MTERA" "BENJAMIN JOHN MAKUYA" "TLP" "M" 797 3533 1.7
"DODOMA" "WILAYA YA DODOMA" "MTERA" "MHANDO NKALULWA CATHERINE" "UDP" "F" 388 3533 0.8
"DODOMA" "WILAYA YA DODOMA" "MTERA" "MIKAELI MAZENGO ZEBEDAYO" "DP" "M" 279 3533 0.6
"DODOMA" "WILAYA YA DODOMA" "MTERA" "LIVINGISTONE JOSEPH LUSINDE" "CHADEMA" "M" 0 3533 NA
"DODOMA" "WILAYA YA DODOMA" "MTERA" "LIVINGISTONE JOSEPH  LUSINDE" "CHADEMA" "M" 0 3533 NA
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "MUHAJI MHITA ZABEIN" "CCM" "F" 42899 3711 60.8
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "OTHMAN OMAR DUNGA" "CUF" "M" 26592 3711 37.7
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "KENETH MAGAWA JEREMIA" "DP" "M" 716 3711 1
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "ISSA ISSERE MURUSALI" "TLP" "M" 304 3711 0.4
"DODOMA" "WILAYA YA KONDOA" "KONDOA KUSINI" "PASCHAL CONSTANTINE DEGERA" "CCM" "M" 42155 5346 70.6
"DODOMA" "WILAYA YA KONDOA" "KONDOA KUSINI" "HASSAN ALLY MISSANYA" "CUF" "M" 14154 5346 23.7
"DODOMA" "WILAYA YA KONDOA" "KONDOA KUSINI" "DR MAULID MAJALA" "CHADEMA" "M" 2997 5346 5
"DODOMA" "WILAYA YA KONDOA" "KONDOA KUSINI" "JUMA NTISI NTISI" "TLP" "M" 367 5346 0.6
"DODOMA" "WILAYA YA KONGWA" "KONGWA" "JOB YUSTINO NDUGAI" "CCM" "M" 79446 6036 91.4
"DODOMA" "WILAYA YA KONGWA" "KONGWA" "GIDEON ELIEZA CHIBANHILA" "CUF" "M" 3795 6036 4.4
"DODOMA" "WILAYA YA KONGWA" "KONGWA" "ABDALLAH EBRAHIM SAPHIA" "CHADEMA" "F" 3390 6036 3.9
"DODOMA" "WILAYA YA KONGWA" "KONGWA" "MARCIANA  NATHANIEL KIBUMO" "DP" "F" 336 6036 0.4
"DODOMA" "WILAYA YA MPWAPWA" "KIBAKWE" "GEORGE BONIFACE SIMBACHAWENE" "CCM" "M" 37359 2927 86.1
"DODOMA" "WILAYA YA MPWAPWA" "KIBAKWE" "KIGAILA SINGO BENSON" "CHADEMA" "M" 5542 2927 12.8
"DODOMA" "WILAYA YA MPWAPWA" "KIBAKWE" "GABRIEL ELIAS MASINJISA" "NCCR-MAGEUZI" "M" 489 2927 1.1
"DODOMA" "WILAYA YA MPWAPWA" "MPWAPWA" "GEORGE MALIMA LUBELEJE" "CCM" "M" 39283 2954 90.9
"DODOMA" "WILAYA YA MPWAPWA" "MPWAPWA" "ABDALLAH KHAMISI SAADA" "CUF" "F" 3084 2954 7.1
"DODOMA" "WILAYA YA MPWAPWA" "MPWAPWA" "MTULI ANACLETUS SAMILA" "TLP" "M" 532 2954 1.2
"DODOMA" "WILAYA YA MPWAPWA" "MPWAPWA" "SHAMIM ALLY KIBONA" "DP" "F" 310 2954 0.7
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "NGENZI MBEGA MONICA" "CCM" "F" 23258 895 70.4
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "REV PETER SIMON MSIGWA" "TLP" "M" 6890 895 20.8
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "MASHAKA JUMA TAGALILE" "CHADEMA" "M" 1671 895 5.1
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "RICHARD MBALINGA MFUNE" "NCCR-MAGEUZI" "M" 537 895 1.6
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "YUSUF ABDALLAH MWAIPAYA" "CUF" "M" 498 895 1.5
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "MBARAKA TWAHA NGWADA" "CHAUSTA" "M" 106 895 0.3
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "ISSA MASASI DAUDI" "PPT-Maendeleo" "M" 93 895 0.3
"IRINGA" "WILAYA YA IRINGA" "ISMANI" "VANGIMEMBE WILLIAM LUKUVI" "CCM" "M" 28276 1978 88.7
"IRINGA" "WILAYA YA IRINGA" "ISMANI" "BENNY JOSEPH KAPWANI" "CHADEMA" "M" 3267 1978 10.2
"IRINGA" "WILAYA YA IRINGA" "ISMANI" "MUSSA ALLY FUFUMBE" "CUF" "M" 238 1978 0.7
"IRINGA" "WILAYA YA IRINGA" "ISMANI" "LUCAS HAMIS MWILONGO" "NCCR-MAGEUZI" "M" 110 1978 0.3
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "STEPHEN JONES GALINOMA" "CCM" "M" 32734 2569 68.4
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "TENDEGA SUBWA GRACE" "Jahazi Asilia" "F" 13492 2569 28.2
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "SYLVESTER ATILIO MWITALA" "CHADEMA" "M" 912 2569 1.9
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "KHALID SALUM MFALINGUNDI" "CUF" "M" 412 2569 0.9
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "WILLIAM NGATA MICHAEL" "TLP" "M" 272 2569 0.6
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "PETER MAHAMUDU MSOLLA" "CCM" "M" 65372 3689 90.8
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "ALOIS MICHAEL MGATTA" "CHADEMA" "M" 5796 3689 8
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "SAKINA ATHUMAN SEMFILINGE" "CUF" "F" 327 3689 0.5
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "GERVAS COSTANTINO KAYWANGA" "TLP" "M" 286 3689 0.4
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "MWAKA LAMECK SEMGIMWA" "CHAUSTA" "F" 134 3689 0.2
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "GRACE DAMIAN WIKEDZI" "DP" "F" 88 3689 0.1
"IRINGA" "WILAYA YA LUDEWA" "LUDEWA" "RAPHAEL BENEDICT MWALYOSI" "CCM" "M" 36853 1406 95.7
"IRINGA" "WILAYA YA LUDEWA" "LUDEWA" "JOSEPH CASIANI MGAYA" "CUF" "M" 1674 1406 4.3
"IRINGA" "WILAYA YA MAKETE" "MAKETE" "DR BINILITH STANO MAHENGE" "CCM" "M" 33164 1063 95.8
"IRINGA" "WILAYA YA MAKETE" "MAKETE" "MLLIA NYASANGA SIMON" "CUF" "M" 1470 1063 4.2
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KASKAZINI" "JOSEPH JAMES MUNGAI" "CCM" "M" 43953 1832 94.4
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KASKAZINI" "MOHAMED ISSA MWINYI KAYOKA" "CUF" "M" 1482 1832 3.2
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KASKAZINI" "MAGELANGA LUTUFYO VICKY" "CHAUSTA" "F" 1122 1832 2.4
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KASKAZINI" "LUCKY OMARY MWAMDEMU" "CHADEMA" "M" 0 1832 NA
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KASKAZINI" "LUCKY OMARY  MWAMDEMU" "CHADEMA" "M" 0 1832 NA
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KUSINI" "BENITO WILLIAM MALANGALILA" "CCM" "M" 40197 2640 81.6
