"region" "district" "const" "candidate" "party" "votes" "spltvotes" "perc"
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "AMINA AMIRI MCHEKA" "CHAUSTA" 519 2184 0.39
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "PROSPER KARISHA JOHN" "AFP" 437 2184 0.32
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "EMIL JOHN RUVUNJA" "APPT - MAENDELEO" 317 2184 0.24
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "KAZIMOTO RAJABU THABITI" "NCCR-MAGEUZI" 253 2184 0.19
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "KAMINAMBEO ISMAIL RAJABU" "DP" 149 2184 0.11
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "SAMIRA PRAVIN LAKHAN" "JAHAZI ASILIA" 138 2184 0.1
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "KAMBONA ACKSON MWANSASU" "TLP" 113 2184 0.08
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "RASHIDI MAWAZO RASHIDI" "NLD" 94 2184 0.07
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "NAOMI WILLIAM MABRUKI" "UPDP" 69 2184 0.05
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "ZABLON SHILINDE MAZENGO" "UDP" 48 2184 0.04
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "RACHEL BALAMA GEORGE" "NRA" 47 2184 0.03
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "KIBOGOYO MARK RWEYUNGA" "SAU" 40 2184 0.03
"DAR ES SALAAM" "MANISPAA YA KINONDONI" "UBUNGO" "KAMANA MASOUD MRENDA" "UMD" 22 2184 0.02
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "DR.NDUGULILE FAUSTINE ENGELBERT" "CCM" 53389 954 50.07
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "KOMU MAULIDAH ANNA" "CHADEMA" 25166 954 23.6
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "MUSTAFA  ISMAIL" "CUF" 24419 954 22.9
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "HOKORORO ZAITUNI NURUDINI" "APPT - MAENDELEO" 825 954 0.77
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "SAID ALLY KILINDO" "AFP" 490 954 0.46
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "MVULA SIXBERTHA MATHIAS" "DP" 473 954 0.44
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "MAPANDE KASSIM MOHAMED" "NCCR-MAGEUZI" 284 954 0.27
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "KHADIJA ABDALLAH TAMBWE" "SAU" 138 954 0.13
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "MUSHUBI MELIKISADECK ERENEST" "NRA" 135 954 0.13
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "MACHENURWA ESTHER NISHI" "TLP" 129 954 0.12
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "MOHAMEDI MWANZO ABDALLAH" "UDP" 109 954 0.1
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "KAPAMA ESTER RICHARD" "UPDP" 79 954 0.07
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "KIGAMBONI" "MBELAI KILIO SALUM" "UMD" 33 954 0.03
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MTEMVU ABASI ZUBERI" "CCM" 58339 2749 48.21
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "LIMBU KADAWI LUCAS" "CUF" 28877 2749 23.86
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "NG'HILY DICKSON AMOS" "CHADEMA" 27899 2749 23.06
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "HAMISI SAIDI HAMADI" "APPT - MAENDELEO" 1384 2749 1.14
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MWARAMI UWESU HAZALI" "AFP" 585 2749 0.48
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "KIPATY SHABANI SELEMANI" "CHAUSTA" 282 2749 0.23
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "NANCY SAIDI MRIKARIA" "TLP" 234 2749 0.19
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MWANAENZI KIBWANA MBWADUKE" "NRA" 166 2749 0.14
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "SAID KOMBO SAID" "JAHAZI ASILIA" 165 2749 0.14
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "JUMANNE MOHAMED PAZIA" "UDP" 153 2749 0.13
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MEGE HAMISI OMARI" "UMD" 114 2749 0.09
"DAR ES SALAAM" "MANISPAA YA TEMEKE" "TEMEKE" "MAKUWA FELIX MARKUS" "UPDP" 57 2749 0.05
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "MALLOLE DAVID MCIWA" "CCM" 52426 2025 71.06
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "MHEMBANO ENOCK PAULO" "CHADEMA" 15773 2025 21.38
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "KAMWELE HARUNA BAKARI" "CUF" 2318 2025 3.14
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "MOHAMED KAYUMBO KABUTALI" "NCCR-MAGEUZI" 662 2025 0.9
"DODOMA" "MANISPAA YA DODOMA" "DODOMA MJINI" "RUNNA MASSARE KARYA" "UPDP" 578 2025 0.78
"DODOMA" "WILAYA YA BAHI" "BAHI" "BADWEL OMARY AHMAD" "CCM" 30266 1046 91.1
"DODOMA" "WILAYA YA BAHI" "BAHI" "KAKA EVA HABELI" "CUF" 1347 1046 4.05
"DODOMA" "WILAYA YA BAHI" "BAHI" "LESAKA MELKZEDEK WILSON" "SAU" 564 1046 1.7
"DODOMA" "WILAYA YA CHAMWINO" "CHILONWA" "CHIBULUNJE HEZEKIAH NDAHANI" "CCM" 19021 942 80.57
"DODOMA" "WILAYA YA CHAMWINO" "CHILONWA" "NKONYA CLETUS MAGAKA" "CHADEMA" 3295 942 13.96
"DODOMA" "WILAYA YA CHAMWINO" "CHILONWA" "NGOMOKA THOMAS WILLIAM" "CUF" 351 942 1.49
"DODOMA" "WILAYA YA CHAMWINO" "MTERA" "LUSINDE JOSEPH LIVINGSTONE" "CCM" 23612 939 80.02
"DODOMA" "WILAYA YA CHAMWINO" "MTERA" "LAMECK JOHN LUBOTE" "CHADEMA" 4520 939 15.32
"DODOMA" "WILAYA YA CHAMWINO" "MTERA" "NGOMOKA THOMAS JOSEPH" "CUF" 389 939 1.32
"DODOMA" "WILAYA YA CHAMWINO" "MTERA" "MAGOYE CHIHANGA STEPHENI" "NCCR-MAGEUZI" 30 939 0.1
"DODOMA" "WILAYA YA CHAMWINO" "MTERA" "CATHERINE MHANDO NKALULWA" "UDP" 16 939 0.05
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "ZABEIN MUHAJI MHITA" "CCM" 33413 1627 59.74
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "DENI YAHYA RASHID" "CUF" 17413 1627 31.13
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "MAJALA NUMA MAULID" "CHADEMA" 2612 1627 4.67
"DODOMA" "WILAYA YA KONDOA" "KONDOA KASKAZINI" "SAUM HUSSEIN RASHIDY" "UDP" 870 1627 1.56
"DODOMA" "WILAYA YA KONDOA" "KONDOA KUSINI" "NKAMIA JUMA SELEMANI" "CCM" 38876 2023 79.49
"DODOMA" "WILAYA YA KONDOA" "KONDOA KUSINI" "MISSANYA HASSAN ALLY" "CUF" 8010 2023 16.38
"DODOMA" "WILAYA YA KONGWA" "KONGWA" "JOB YUSTINO NDUGAI	
                    - Unopposed" "CCM" 0 0 NA
"DODOMA" "WILAYA YA MPWAPWA" "KIBAKWE" "SIMBACHAWENE GEORGE BONIFACE" "CCM" 22418 800 77.12
"DODOMA" "WILAYA YA MPWAPWA" "KIBAKWE" "BENSON KIGAILA SINGO" "CHADEMA" 5585 800 19.21
"DODOMA" "WILAYA YA MPWAPWA" "KIBAKWE" "GALAPINA SAMSON MWIKOLA" "NCCR-MAGEUZI" 266 800 0.92
"DODOMA" "WILAYA YA MPWAPWA" "MPWAPWA" "TEU GEORGE GREGORY	
                    - Unopposed" "CCM" 0 0 NA
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "MSIGWA REV. SIMON PETER" "CHADEMA" 17352 554 50.38
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "MBEGA MONICA NGENZI" "CCM" 15266 554 44.32
"IRINGA" "MANISPAA YA IRINGA" "IRINGA MJINI" "MWAKINGWE MARIAM PETER" "NCCR-MAGEUZI" 1272 554 3.69
"IRINGA" "MJI WA NJOMBE" "NJOMBE KUSINI" "MAKINDA ANNE SEMAMBA	
                    - Unopposed" "CCM" 0 0 NA
"IRINGA" "WILAYA YA IRINGA" "ISMANI" "LUKUVI WILLIAM VANGIMEMBE	
                    - Unopposed" "CCM" 0 0 NA
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "MGIMWA WILLIAM AUGUSTAO" "CCM" 31421 1191 84.39
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "REHEMA MAKOGA MORINE  PAULO" "CHADEMA" 3356 1191 9.01
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "KATINDASA JOHN LUMULIKO" "TLP" 934 1191 2.51
"IRINGA" "WILAYA YA IRINGA" "KALENGA" "MAKUKE ISMAIL MJINJA" "JAHAZI ASILIA" 332 1191 0.89
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "MSOLLA PROF. PETER MAHAMUDU" "CCM" 45719 1099 90.97
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "MWITULA CLAY MESHACK" "CHADEMA" 3117 1099 6.2
"IRINGA" "WILAYA YA KILOLO" "KILOLO" "MGIMWA MWAKA LAMECK" "CHAUSTA" 321 1099 0.64
"IRINGA" "WILAYA YA LUDEWA" "LUDEWA" "FILIKUNJOMBE DEO HAULE	
                    - Unopposed" "CCM" 0 0 NA
"IRINGA" "WILAYA YA MAKETE" "MAKETE" "MAHENGE BINILITH SATANO(DKT)" "CCM" 22290 620 83.44
"IRINGA" "WILAYA YA MAKETE" "MAKETE" "KYANDO MOSES KLAUT" "CHADEMA" 3545 620 13.27
"IRINGA" "WILAYA YA MAKETE" "MAKETE" "JOMA AMOSI MWAKISITU" "CUF" 260 620 0.97
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KASKAZINI" "MGIMWA MAHMOUD HASSAN	
                    - Unopposed" "CCM" 0 0 NA
"IRINGA" "WILAYA YA MUFINDI" "MUFINDI KUSINI" "MENDRAD LUTENGANO KIGOLA	
                    - Unopposed" "CCM" 0 0 NA
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE KASKAZINI" "DEO KASENYENDA SANGA" "CCM" 29644 788 73.17
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE KASKAZINI" "NYAGAWA LUDALIKO ALATANGA" "CHADEMA" 9781 788 24.14
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE KASKAZINI" "HONGOLE AYUBU GODFREY" "CUF" 300 788 0.74
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE MAGHARIBI" "LWENGE GERSON HOSEA" "CCM" 29743 1028 66.87
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE MAGHARIBI" "NYIMBO THOMAS SIMON" "CHADEMA" 13483 1028 30.31
"IRINGA" "WILAYA YA NJOMBE" "NJOMBE MAGHARIBI" "MHANGA JACOBO LICHANO" "CUF" 224 1028 0.5
"KAGERA" "MANISPAA YA BUKOBA" "BUKOBA MJINI" "KHAMIS SUED KAGASHEKI" "CCM" 18491 481 55.92
"KAGERA" "MANISPAA YA BUKOBA" "BUKOBA MJINI" "LWAKATARE WILFRED MUGANYIZI" "CHADEMA" 13800 481 41.73
"KAGERA" "MANISPAA YA BUKOBA" "BUKOBA MJINI" "CHRISTIAN MWEMEZI KASIMBAZI" "CUF" 294 481 0.89
"KAGERA" "WILAYA YA BIHARAMULO" "BIHARAMULO MAGHARIBI" "MBASSA ANTONY GERVASE" "CHADEMA" 20828 1730 48.4
"KAGERA" "WILAYA YA BIHARAMULO" "BIHARAMULO MAGHARIBI" "OSCAR RWEGASIRA MUKASA" "CCM" 19843 1730 46.11
"KAGERA" "WILAYA YA BIHARAMULO" "BIHARAMULO MAGHARIBI" "HAMIDA ISSA SELEMANI" "CUF" 631 1730 1.47
"KAGERA" "WILAYA YA BUKOBA" "BUKOBA VIJIJINI" "RWEIKIZA JASSON SAMSON" "CCM" 57649 1723 82.69
"KAGERA" "WILAYA YA BUKOBA" "BUKOBA VIJIJINI" "NDIBALEMA ALISTIDES SIMON" "CHADEMA" 5577 1723 8
"KAGERA" "WILAYA YA BUKOBA" "BUKOBA VIJIJINI" "TASLIMA TWAHA ISSALUTAGAYWA" "CUF" 4767 1723 6.84
"KAGERA" "WILAYA YA CHATO" "CHATO" "MAGUFULI JOHN POMBE JOSEPH" "CCM" 36142 2751 66.39
"KAGERA" "WILAYA YA CHATO" "CHATO" "RUKUMBUZA VEDASTUS ALBOGAST" "CHADEMA" 14456 2751 26.55
"KAGERA" "WILAYA YA CHATO" "CHATO" "AMOS LUKINDA LUHANYA" "UDP" 1091 2751 2
"KAGERA" "WILAYA YA KARAGWE" "KARAGWE" "BLANDES BEGUMISA GOSBERT" "CCM" 36063 1722 52.78
"KAGERA" "WILAYA YA KARAGWE" "KARAGWE" "KAHANGWA DEUSDEDIT JOVIN" "CHADEMA" 29711 1722 43.48
"KAGERA" "WILAYA YA KARAGWE" "KARAGWE" "PETERSON WALTER MUSHENYERA" "NCCR-MAGEUZI" 568 1722 0.83
"KAGERA" "WILAYA YA KARAGWE" "KARAGWE" "MADANIO SWALEHE" "CUF" 263 1722 0.38
"KAGERA" "WILAYA YA KARAGWE" "KYERWA" "KATAGIRA EUSTACE OSLER" "CCM" 40260 1697 61.82
"KAGERA" "WILAYA YA KARAGWE" "KYERWA" "KATO INNOCENT MAKAZI" "CHADEMA" 22499 1697 34.55
"KAGERA" "WILAYA YA KARAGWE" "KYERWA" "MELCHIOR RUTA BATULAINE" "TLP" 672 1697 1.03
"KAGERA" "WILAYA YA MISSENYI" "NKENGE" "Assumpter Nshunju Mshama" "CCM" 23772 116 94.74
"KAGERA" "WILAYA YA MISSENYI" "NKENGE" "Amri Sadiki Nkurumbi" "CUF" 606 116 2.42
"KAGERA" "WILAYA YA MISSENYI" "NKENGE" "KWEYAMBA WILLIAM ISHENGOMA" "TLP" 597 116 2.38
"KAGERA" "WILAYA YA MULEBA" "MULEBA KASKAZINI" "MWIJAGE CHARLES JOHN" "CCM" 30886 835 79.74
"KAGERA" "WILAYA YA MULEBA" "MULEBA KASKAZINI" "MILLANGA MUSEDEMU MBEHAMYA" "CHADEMA" 6845 835 17.67
"KAGERA" "WILAYA YA MULEBA" "MULEBA KASKAZINI" "KABIRIGA MURSHIDI KHALID" "NLD" 169 835 0.44
"KAGERA" "WILAYA YA MULEBA" "MULEBA KUSINI" "PROF. ANNA KAJUMULO TIBAIJUKA	
                    - Unopposed" "CCM" 0 0 NA
"KAGERA" "WILAYA YA NGARA" "NGARA" "NTUKAMAZINA DEOGRATIAS ALOYS" "CCM" 37502 3326 61.43
"KAGERA" "WILAYA YA NGARA" "NGARA" "RUHUZA MUGISHA SAMUEL" "NCCR-MAGEUZI" 18261 3326 29.91
"KAGERA" "WILAYA YA NGARA" "NGARA" "ROBINSON ROBERT MUSHIKA" "CHADEMA" 1962 3326 3.21
"KASKAZINI PEMBA" "MICHEWENI" "KONDE" "KHATIB SAID HAJI" "CUF" 5268 215 82.2
